X1	X2	Y
-64.17040052000002		NO
604.45723496	-4.70333247	YES
492.68833877	-0.493488114	YES
438.04088661	-2.307668942	NO
184.34904233	2.680302801	NO
557.12745085	-3.632923074	YES
35.917130730000004	-5.586183106	YES
516.3318296900001	-2.833073767	YES
468.14584156	2.075219368	YES
4.001544930000016	-3.325044584	NO
	-2.119193455	YES
34.15177153999998	-2.39793651	YES
138.9716075	-3.516589402	YES
-227.4935110300001	6.586134303	NO
105.41348787	-3.192427856	YES
-9.788238350000007	-6.378897745	YES
-75.27834058	-4.445818004	YES
452.94040999	-1.751872694	NO
379.98671365	-4.330865234	YES
472.89936789	0.850044644	YES
38.51740155000001	-0.81783674	YES
-239.19851	2.511376817	YES
535.90145858	-7.414767964	YES
		
295.31797264	-2.746842709	NO
389.37824783	4.30667597	NO
438.7934193699999	-4.420728726	NO
-229.34316534	3.900129248	YES
112.04019824	-1.831356576	NO
202.98735489	7.463282266	NO
-238.13922268	3.972367944	YES
-207.24844248	2.398364273	NO
150.17797232	3.298873823	NO
154.83163938	3.265428018	NO
316.94588797	-8.495438384	YES
-65.0347874	2.375828198	NO
325.05517202	5.597810226	NO
15.739024950000015	-5.219420172	YES
344.43163927	7.319462938	NO
122.42822162	-4.829547781	YES
294.38638030000004	3.652650647	NO
312.99476954	2.506988644	NO
304.97313921	-8.359157369	YES
217.65824504	1.293076559	NO
345.56967127	-4.256829346	NO
-139.38765136999996	2.581452623	YES
-117.30948099000004	8.072169168	NO
263.26161893999995	-4.315180972	NO
-127.98096594000005	2.506470199	YES
41.69096040000001	-4.789117991	YES
467.25478398	2.823900634	YES
436.98678454	-1.344817277	NO
411.86528632	-2.130222306	NO
46.31909110999998	4.732022415	NO
322.10153917	-1.416832148	NO
222.76208301	2.903341336	NO
310.85165934	-6.130301437	YES
347.4027340399999	4.272384597	NO
456.3432202400001	-4.666523271	YES
491.67285073	-6.844364105	YES
317.58247896	6.834964826	NO
391.34330652	-3.014473844	YES
309.98647593	7.188419573	NO
160.94999533	-4.974167661	NO
312.64878677	-0.538808087	NO
549.5235609900001	-3.393180083	YES
265.10423272	2.67272648	NO
224.7092833	5.720692109	NO
311.07776249	-3.646934423	YES
38.11405335999999	7.440864194	NO
160.11823881	-9.6980955	YES
236.39269511	2.287869886	NO
452.99034519	-1.788398713	NO
509.87265354	-5.513525431	YES
380.38211838	-2.34689975	NO
437.7419983	0.446281083	YES
372.11697324	4.984947962	NO
439.72747823	-2.236473966	NO
-125.96587138999996	0.896649601	YES
213.65923954	-6.620104549	YES
458.56649171	4.836031841	NO
119.16395208	5.310572862	NO
263.55974803	0.602156657	NO
-324.70415694	3.070323846	YES
552.88151734	-6.179147898	YES
387.52463313	6.683833354	NO
-34.71245969999999	0.6911317	YES
-190.51605485	6.647110054	NO
-144.47957275	4.957147115	NO
